,alternateCandidates,mandates,party,presidents,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year
90,,4,PS,1,1,1,4,64.98,1,180,Corvo,Açores,0,5,1.81,,False,5,1.81,1,277,78.69,Manuel das Pedras Rita,2009
91,,0,B.E.,0,0,1,0,1.45,0,123,Horta,Açores,0,139,1.64,,False,60,0.71,13,8487,65.06,Maria José Ferreira da Silva,2009
92,,0,CDS-PP,0,0,1,0,1.24,0,105,Horta,Açores,0,139,1.64,,False,60,0.71,13,8487,65.06,Alexandre Agostinho Martins de Carvalho,2009
93,,0,PCP-PEV,0,0,1,0,9.18,0,779,Horta,Açores,0,139,1.64,,False,60,0.71,13,8487,65.06,José Eduardo Bicudo Decq Mota,2009
94,,3,PPD/PSD,0,0,1,3,40.62,0,3447,Horta,Açores,0,139,1.64,,False,60,0.71,13,8487,65.06,Paulo Jorge Peixinho de Oliveira,2009
95,,4,PS,1,1,1,4,45.17,1,3834,Horta,Açores,0,139,1.64,,False,60,0.71,13,8487,65.06,João Fernando Brum de Azevedo e Castro,2009
96,,0,CDS-PP,0,0,1,0,3.84,0,230,Lagoa (R.A.A),Açores,0,82,1.37,,False,104,1.73,5,5996,49.81,Roberto Manuel Sousa Oliveira,2009
97,,0,PCP-PEV,0,0,1,0,1.3,0,78,Lagoa (R.A.A),Açores,0,82,1.37,,False,104,1.73,5,5996,49.81,Júlio Manuel Pereira Duarte,2009
98,,2,PPD/PSD,0,0,1,2,25.4,0,1523,Lagoa (R.A.A),Açores,0,82,1.37,,False,104,1.73,5,5996,49.81,Rui Manuel Maciel Costa de Oliveira Ramos,2009
99,,5,PS,1,1,1,5,66.36,1,3979,Lagoa (R.A.A),Açores,0,82,1.37,,False,104,1.73,5,5996,49.81,João António Ferreira Ponte,2009
100,,3,PPD/PSD,1,1,1,3,53.86,1,558,Lajes das Flores,Açores,0,8,0.77,,False,5,0.48,7,1036,80.94,João António Vieira Lourenço,2009
101,,2,PS,0,0,1,2,44.88,0,465,Lajes das Flores,Açores,0,8,0.77,,False,5,0.48,7,1036,80.94,Luís Carlos Martins Maciel,2009
