,votesAbsoluteMajority,votesMandates,votesPercentage,votesPresidents,votesVotes,county,district,availableMandates,blankVotes,blankVotesPercentage,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidate,year,votesValidVotesPercentage,coalition,parties
92,False,0,1.2371862849063273,False,105,Horta,Açores,False,139,1.6377989866855192,60,0.7069635913750442,13,8487,65.06,Alexandre Agostinho Martins de Carvalho,2009,1.2668918918918919,CDS-PP,['CDS-PP']
93,False,0,9.178743961352657,False,779,Horta,Açores,False,139,1.6377989866855192,60,0.7069635913750442,13,8487,65.06,José Eduardo Bicudo Decq Mota,2009,9.399131274131275,PCP-PEV,['PCP-PEV']
94,False,3,40.61505832449629,False,3447,Horta,Açores,False,139,1.6377989866855192,60,0.7069635913750442,13,8487,65.06,Paulo Jorge Peixinho de Oliveira,2009,41.590250965250966,PPD/PSD,['PPD/PSD']
95,True,4,45.17497348886532,True,3834,Horta,Açores,False,139,1.6377989866855192,60,0.7069635913750442,13,8487,65.06,João Fernando Brum de Azevedo e Castro,2009,46.25965250965251,PS,['PS']
96,False,0,3.835890593729153,False,230,Lagoa (R.A.A),Açores,False,82,1.3675783855903936,104,1.734489659773182,5,5996,49.81,Roberto Manuel Sousa Oliveira,2009,3.9586919104991396,CDS-PP,['CDS-PP']
97,False,0,1.3008672448298866,False,78,Lagoa (R.A.A),Açores,False,82,1.3675783855903936,104,1.734489659773182,5,5996,49.81,Júlio Manuel Pereira Duarte,2009,1.342512908777969,PCP-PEV,['PCP-PEV']
98,False,2,25.400266844563042,False,1523,Lagoa (R.A.A),Açores,False,82,1.3675783855903936,104,1.734489659773182,5,5996,49.81,Rui Manuel Maciel Costa de Oliveira Ramos,2009,26.21342512908778,PPD/PSD,['PPD/PSD']
99,True,5,66.36090727151435,True,3979,Lagoa (R.A.A),Açores,False,82,1.3675783855903936,104,1.734489659773182,5,5996,49.81,João António Ferreira Ponte,2009,68.4853700516351,PS,['PS']
100,True,3,53.861003861003866,True,558,Lajes das Flores,Açores,False,8,0.7722007722007722,5,0.4826254826254826,7,1036,80.94,João António Vieira Lourenço,2009,54.54545454545454,PPD/PSD,['PPD/PSD']
101,False,2,44.884169884169886,False,465,Lajes das Flores,Açores,False,8,0.7722007722007722,5,0.4826254826254826,7,1036,80.94,Luís Carlos Martins Maciel,2009,45.45454545454545,PS,['PS']
102,False,2,47.75044991001799,False,1592,Lajes do Pico,Açores,False,30,0.8998200359928014,28,0.8398320335932814,6,3334,74.89,Sara Maria Alves da Rosa Santos,2009,48.595848595848594,PPD/PSD,['PPD/PSD']
103,True,3,50.509898020395916,True,1684,Lajes do Pico,Açores,False,30,0.8998200359928014,28,0.8398320335932814,6,3334,74.89,Roberto Manuel Medeiros da Silva,2009,51.4041514041514,PS,['PS']
104,False,0,2.0821917808219177,False,76,Madalena,Açores,False,75,2.054794520547945,20,0.547945205479452,6,3650,69.08,Elisabete da Piedade Alves,2009,2.1378340365682136,PCP-PEV,['PCP-PEV']
105,True,4,64.13698630136986,True,2341,Madalena,Açores,False,75,2.054794520547945,20,0.547945205479452,6,3650,69.08,Jorge Manuel Pereira Rodrigues,2009,65.8509142053446,PPD/PSD,['PPD/PSD']
106,False,1,31.17808219178082,False,1138,Madalena,Açores,False,75,2.054794520547945,20,0.547945205479452,6,3650,69.08,Hernani Hélio Jorge,2009,32.0112517580872,PS,['PS']
107,True,3,56.49798734905118,True,1965,Nordeste,Açores,False,61,1.7538815411155837,60,1.7251293847038527,9,3478,74.06,José Carlos Barbosa Carreiro,2009,58.53440571939231,PPD/PSD,['PPD/PSD']
108,False,2,40.02300172512939,False,1392,Nordeste,Açores,False,61,1.7538815411155837,60,1.7251293847038527,9,3478,74.06,Carlos Alberto Medeiros Mendonça,2009,41.46559428060769,PS,['PS']
109,False,0,2.086962581004808,False,599,Ponta Delgada,Açores,False,290,1.0103825517385547,219,0.7630130304508397,24,28702,47.27,Lúcia de Fátima Oliveira Arruda,2009,2.124640868300642,BE,['BE']
110,False,0,2.7593895895756395,False,792,Ponta Delgada,Açores,False,290,1.0103825517385547,219,0.7630130304508397,24,28702,47.27,Eduardo Jorge Lopes Medeiros,2009,2.809207959422552,CDS-PP,['CDS-PP']
111,False,0,1.672357327015539,False,480,Ponta Delgada,Açores,False,290,1.0103825517385547,219,0.7630130304508397,24,28702,47.27,Carlos Alberto Gomes Ribeiro,2009,1.70255027843791,PCP-PEV,['PCP-PEV']
112,True,6,60.68915058184099,True,17419,Ponta Delgada,Açores,False,290,1.0103825517385547,219,0.7630130304508397,24,28702,47.27,Berta Maria Correia de Almeida de Melo Cabral,2009,61.78484020856241,PPD/PSD,['PPD/PSD']
113,False,3,31.018744338373633,False,8903,Ponta Delgada,Açores,False,290,1.0103825517385547,219,0.7630130304508397,24,28702,47.27,José Paulo Martins Casaca,2009,31.578760685276485,PS,['PS']
114,False,0,0.7434944237918215,False,32,Povoação,Açores,False,56,1.3011152416356877,39,0.9061338289962825,6,4304,69.37,Teresa de Jesus Vieira Moniz Vertentes,2009,0.7602755999049655,PCP-PEV,['PCP-PEV']
115,False,2,39.80018587360595,False,1713,Povoação,Açores,False,56,1.3011152416356877,39,0.9061338289962825,6,4304,69.37,Francisco da Silva Álvares,2009,40.69850320741269,PPD/PSD,['PPD/PSD']
116,True,3,57.249070631970255,True,2464,Povoação,Açores,False,56,1.3011152416356877,39,0.9061338289962825,6,4304,69.37,Carlos Emílio Lopes Machado Ávila,2009,58.54122119268234,PS,['PS']
117,False,0,2.0179538541434825,False,272,Ribeira Grande,Açores,False,158,1.1721937829215818,163,1.2092885228874546,14,13479,53.13,Artur José Araújo de Arruda Ponte,2009,2.0671834625323,CDS-PP,['CDS-PP']
118,False,0,1.5060464426144373,False,203,Ribeira Grande,Açores,False,158,1.1721937829215818,163,1.2092885228874546,14,13479,53.13,Antero Jerónimo Moniz Arruda Quental,2009,1.5427876576987383,PCP-PEV,['PCP-PEV']
119,False,3,36.0857630388011,False,4864,Ribeira Grande,Açores,False,158,1.1721937829215818,163,1.2092885228874546,14,13479,53.13,Filomeno dos Anjos da Silva Gouveia,2009,36.966104271165825,PPD/PSD,['PPD/PSD']
120,True,4,54.54410564581942,True,7352,Ribeira Grande,Açores,False,158,1.1721937829215818,163,1.2092885228874546,14,13479,53.13,Ricardo José Moniz da Silva,2009,55.87475300197598,PS,['PS']
121,False,2,45.25650035137034,False,1288,Santa Cruz da Graciosa,Açores,False,35,1.229796205200281,29,1.0189739985945185,4,2846,66.5,José Ramos de Aguiar,2009,46.29762760603882,PPD/PSD,['PPD/PSD']
122,True,3,52.49472944483485,True,1494,Santa Cruz da Graciosa,Açores,False,35,1.229796205200281,29,1.0189739985945185,4,2846,66.5,Manuel Avelar Cunha Santos,2009,53.702372393961184,PS,['PS']
123,False,0,13.208901651112706,False,184,Santa Cruz das Flores,Açores,False,22,1.5793251974156497,6,0.4307250538406317,4,1393,69.51,Rosa Margarida Ribeiro Cravinho,2009,13.47985347985348,CDS-PP,['CDS-PP']
124,False,0,5.8147882268485285,False,81,Santa Cruz das Flores,Açores,False,22,1.5793251974156497,6,0.4307250538406317,4,1393,69.51,João Paulo Valadão Corvelo,2009,5.934065934065933,PCP-PEV,['PCP-PEV']
125,False,1,22.613065326633166,False,315,Santa Cruz das Flores,Açores,False,22,1.5793251974156497,6,0.4307250538406317,4,1393,69.51,Hélio Fernando Miranda Ramos,2009,23.076923076923077,PPD/PSD,['PPD/PSD']
