Year,alternateCandidates,mandates,party,presidents,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year,votes.validVotesPercentage
2009,,5,PS,1,1,1,5,66.36,1,3979,Lagoa (R.A.A),Açores,0,82,1.37,,FALSE,104,1.73,5,5996,49.81,João António Ferreira Ponte,2009,
2009,,3,PPD/PSD,1,1,1,3,53.86,1,558,Lajes das Flores,Açores,0,8,0.77,,FALSE,5,0.48,7,1036,80.94,João António Vieira Lourenço,2009,
2009,,2,PS,0,0,1,2,44.88,0,465,Lajes das Flores,Açores,0,8,0.77,,FALSE,5,0.48,7,1036,80.94,Luís Carlos Martins Maciel,2009,
2009,,2,PPD/PSD,0,0,1,2,47.75,0,1592,Lajes do Pico,Açores,0,30,0.9,,FALSE,28,0.84,6,3334,74.89,Sara Maria Alves da Rosa Santos,2009,
2009,,3,PS,1,1,1,3,50.51,1,1684,Lajes do Pico,Açores,0,30,0.9,,FALSE,28,0.84,6,3334,74.89,Roberto Manuel Medeiros da Silva,2009,
2009,,0,PCP-PEV,0,0,1,0,2.08,0,76,Madalena,Açores,0,75,2.05,,FALSE,20,0.55,6,3650,69.08,Elisabete da Piedade Alves,2009,
2009,,4,PPD/PSD,1,1,1,4,64.14,1,2341,Madalena,Açores,0,75,2.05,,FALSE,20,0.55,6,3650,69.08,Jorge Manuel Pereira Rodrigues,2009,
2009,,1,PS,0,0,1,1,31.18,0,1138,Madalena,Açores,0,75,2.05,,FALSE,20,0.55,6,3650,69.08,Hernani Hélio Jorge,2009,
2009,,3,PPD/PSD,1,1,1,3,56.5,1,1965,Nordeste,Açores,0,61,1.75,,FALSE,60,1.73,9,3478,74.06,José Carlos Barbosa Carreiro,2009,
2009,,2,PS,0,0,1,2,40.02,0,1392,Nordeste,Açores,0,61,1.75,,FALSE,60,1.73,9,3478,74.06,Carlos Alberto Medeiros Mendonça,2009,
2009,,0,B.E.,0,0,1,0,2.09,0,599,Ponta Delgada,Açores,0,290,1.01,,FALSE,219,0.76,24,28702,47.27,Lúcia de Fátima Oliveira Arruda,2009,
2009,,0,CDS-PP,0,0,1,0,2.76,0,792,Ponta Delgada,Açores,0,290,1.01,,FALSE,219,0.76,24,28702,47.27,Eduardo Jorge Lopes Medeiros,2009,
2009,,0,PCP-PEV,0,0,1,0,1.67,0,480,Ponta Delgada,Açores,0,290,1.01,,FALSE,219,0.76,24,28702,47.27,Carlos Alberto Gomes Ribeiro,2009,
2009,,6,PPD/PSD,1,1,1,6,60.69,1,17419,Ponta Delgada,Açores,0,290,1.01,,FALSE,219,0.76,24,28702,47.27,Berta Maria Correia de Almeida de Melo Cabral,2009,
2009,,3,PS,0,0,1,3,31.02,0,8903,Ponta Delgada,Açores,0,290,1.01,,FALSE,219,0.76,24,28702,47.27,José Paulo Martins Casaca,2009,
2009,,0,PCP-PEV,0,0,1,0,0.74,0,32,Povoação,Açores,0,56,1.3,,FALSE,39,0.91,6,4304,69.37,Teresa de Jesus Vieira Moniz Vertentes,2009,
2009,,2,PPD/PSD,0,0,1,2,39.8,0,1713,Povoação,Açores,0,56,1.3,,FALSE,39,0.91,6,4304,69.37,Francisco da Silva Álvares,2009,
2009,,3,PS,1,1,1,3,57.25,1,2464,Povoação,Açores,0,56,1.3,,FALSE,39,0.91,6,4304,69.37,Carlos Emílio Lopes Machado Ávila,2009,
2009,,0,CDS-PP,0,0,1,0,2.02,0,272,Ribeira Grande,Açores,0,158,1.17,,FALSE,163,1.21,14,13479,53.13,Artur José Araújo de Arruda Ponte,2009,
2009,,0,PCP-PEV,0,0,1,0,1.51,0,203,Ribeira Grande,Açores,0,158,1.17,,FALSE,163,1.21,14,13479,53.13,Antero Jerónimo Moniz Arruda Quental,2009,
2009,,3,PPD/PSD,0,0,1,3,36.09,0,4864,Ribeira Grande,Açores,0,158,1.17,,FALSE,163,1.21,14,13479,53.13,Filomeno dos Anjos da Silva Gouveia,2009,
2009,,4,PS,1,1,1,4,54.54,1,7352,Ribeira Grande,Açores,0,158,1.17,,FALSE,163,1.21,14,13479,53.13,Ricardo José Moniz da Silva,2009,
